Trainer_PK,Horse_PK,Horse_Name,Horse_BY,Trainer_Num,Trainer_Name,Trainer_Div
70146,43765,갈색향기,2019,22,안병기,서울 경마장
70182,43727,테스고대보,2019,25,전승규,서울 경마장
70145,45036,행복여왕,2019,6,홍대유,서울 경마장
70197,43879,너를응원해,2019,48,이준철,서울 경마장
70175,43888,원더풀섀도우,2019,31,강환민,서울 경마장
70164,44046,파인팜,2019,50,박재우,서울 경마장
70091,43829,우주의봄,2019,20,배대선,서울 경마장
70094,44555,옥천최강,2019,19,곽영효,서울 경마장
70164,43991,골드파워,2019,50,박재우,서울 경마장
70175,46520,국제공항,2019,31,강환민,서울 경마장
70157,43812,매직모카신,2019,7,구자흥,서울 경마장
70148,44698,두손판타스틱,2019,10,정호익,서울 경마장
70179,43918,클레어베스트,2019,40,송문길,서울 경마장
70150,43957,트레비트,2019,2,손영표,서울 경마장
70174,44028,톱클래스,2019,9,강성오,서울 경마장
70161,45073,희망워리어,2019,41,신삼영,서울 경마장
70164,43681,유쾌한날들,2019,50,박재우,서울 경마장
70165,43933,아라챔프,2019,33,서인석,서울 경마장
70095,43978,라온더스퍼트,2019,1,박종곤,서울 경마장
70165,46592,호크프린스,2019,33,서인석,서울 경마장
70166,43807,빅비트,2019,37,심승태,서울 경마장
70181,43941,톱포지션,2019,42,이관호,서울 경마장
70181,44796,와일드러너,2019,42,이관호,서울 경마장
70181,44059,허니펀치,2019,42,이관호,서울 경마장
70148,44143,원평가속,2019,10,정호익,서울 경마장
70094,46436,콩코드스퍼트,2019,19,곽영효,서울 경마장
70108,44689,런보이런,2019,26,안해양,서울 경마장
70244,43725,남산호랑이,2019,34,리카디,서울 경마장
70161,44128,알사이먼,2019,41,신삼영,서울 경마장
70094,44048,한강히어로,2019,19,곽영효,서울 경마장
70166,44650,감곡선샤인,2019,37,심승태,서울 경마장
70094,43985,한강매직,2019,19,곽영효,서울 경마장
70168,44132,예술이야,2019,8,최용구,서울 경마장
70197,44091,카미노,2019,48,이준철,서울 경마장
70168,44133,퍼지데이,2019,8,최용구,서울 경마장
70053,44137,컴플리트밸류,2019,13,이희영,서울 경마장
70114,44015,웰빙챔피언,2019,15,박희철,서울 경마장
70161,44134,유로강자,2019,41,신삼영,서울 경마장
70152,44115,천송이,2019,16,최봉주,서울 경마장
70148,43872,리버태양,2019,10,정호익,서울 경마장
70145,44100,새내파워풀,2019,6,홍대유,서울 경마장
70177,44142,올가림,2019,53,김동철,서울 경마장
70144,44004,런던스카이,2019,29,배휴준,서울 경마장
70177,45098,머스탱참,2019,53,김동철,서울 경마장
70168,50223,위대한군주,2019,8,최용구,서울 경마장
70085,43713,글로벌보배,2019,28,최상식,서울 경마장
70160,44074,마이티앤,2019,24,서홍수,서울 경마장
70244,44694,금아시크,2019,34,리카디,서울 경마장
